Start Timestamp,Start Date,Start Time,End Timestamp,End Date,End Time,Description,Type,Location,Subject
2022-07-24T19:15:00Z,07/24/22,21:15:00,2022-07-24T21:30:00Z,07/24/22,23:30:00,https://filmfestival-rathausplatz.at/event/carmen,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Carmen
2022-07-25T19:15:00Z,07/25/22,21:15:00,2022-07-25T21:30:00Z,07/25/22,23:30:00,https://filmfestival-rathausplatz.at/event/chucho-valdes-la-creacion,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Chucho Valdés: La Creación
2022-07-26T19:15:00Z,07/26/22,21:15:00,2022-07-26T21:30:00Z,07/26/22,23:30:00,https://filmfestival-rathausplatz.at/event/galakonzert-aus-berlin-2021,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Galakonzert aus Berlin 2021
2022-07-27T19:15:00Z,07/27/22,21:15:00,2022-07-27T21:30:00Z,07/27/22,23:30:00,https://filmfestival-rathausplatz.at/event/rolling-stones-havana-moon,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Rolling Stones: Havana Moon
2022-07-28T19:15:00Z,07/28/22,21:15:00,2022-07-28T21:15:00Z,07/28/22,23:15:00,https://filmfestival-rathausplatz.at/event/john-williams-live-in-vienna-3,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",John Williams: Live In Vienna
2022-07-29T19:15:00Z,07/29/22,21:15:00,2022-07-29T19:45:00Z,07/29/22,21:45:00,https://filmfestival-rathausplatz.at/event/nino-und-julia-3,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Nino und Julia
2022-07-29T19:20:00Z,07/29/22,21:20:00,2022-07-29T21:20:00Z,07/29/22,23:20:00,https://filmfestival-rathausplatz.at/event/das-grosse-musical-konzert-der-vereinigten-buehnen-wien-3,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Das große Musical-Konzert der Vereinigten Bühnen Wien
2022-07-30T19:15:00Z,07/30/22,21:15:00,2022-07-30T20:30:00Z,07/30/22,22:30:00,https://filmfestival-rathausplatz.at/event/herbert-blomstedt-und-martha-argerich-in-luzern-beethoven-2,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Herbert Blomstedt und Martha Argerich in Luzern: Beethoven
2022-07-30T20:35:00Z,07/30/22,22:35:00,2022-07-30T21:30:00Z,07/30/22,23:30:00,https://filmfestival-rathausplatz.at/event/glenn-gould-spielt-bach-goldberg-variationen,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Glenn Gould spielt Bach: Goldberg-Variationen
2022-07-31T19:15:00Z,07/31/22,21:15:00,2022-07-31T21:15:00Z,07/31/22,23:15:00,https://filmfestival-rathausplatz.at/event/sylvia,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Sylvia
