Start Timestamp,Start Date,Start Time,End Timestamp,End Date,End Time,Description,Type,Location,Subject
2022-07-07T18:00:00Z,07/07/22,20:00:00,2022-07-07T21:30:00Z,07/07/22,23:30:00,https://tickets.kinoamdach.at/at/riders-of-justice-helden-der-wahrscheinlichkeit-07-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Riders of Justice
2022-07-08T18:00:00Z,07/08/22,20:00:00,2022-07-08T21:30:00Z,07/08/22,23:30:00,https://tickets.kinoamdach.at/at/spider-man-no-way-home-08-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Spider-Man: No Way Home
2022-07-09T18:00:00Z,07/09/22,20:00:00,2022-07-09T21:30:00Z,07/09/22,23:30:00,https://tickets.kinoamdach.at/at/nightmare-alley-09-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Nightmare Alley
2022-07-10T18:00:00Z,07/10/22,20:00:00,2022-07-10T21:30:00Z,07/10/22,23:30:00,https://tickets.kinoamdach.at/at/cash-truck-10-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Cash Truck
2022-07-11T18:00:00Z,07/11/22,20:00:00,2022-07-11T21:30:00Z,07/11/22,23:30:00,https://tickets.kinoamdach.at/at/come-on-come-on-presented-by-falter-11-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria","Come On, Come On"
2022-07-12T18:00:00Z,07/12/22,20:00:00,2022-07-12T21:30:00Z,07/12/22,23:30:00,https://tickets.kinoamdach.at/at/nowhere-special-12-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Nowhere Special
2022-07-13T18:00:00Z,07/13/22,20:00:00,2022-07-13T21:30:00Z,07/13/22,23:30:00,https://tickets.kinoamdach.at/at/family-special-geschichten-vom-franz-presented-by-b%C3%BCcherein-wien-13-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Geschichten vom Franz
2022-07-14T18:00:00Z,07/14/22,20:00:00,2022-07-14T21:30:00Z,07/14/22,23:30:00,https://tickets.kinoamdach.at/at/wundersch%C3%B6n-27-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Wunderschön
2022-07-15T18:00:00Z,07/15/22,20:00:00,2022-07-15T21:30:00Z,07/15/22,23:30:00,https://tickets.kinoamdach.at/at/doctor-strange-in-the-multiverse-of-madness-15-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Doctor Strange in the Multiverse of Madness
2022-07-16T18:00:00Z,07/16/22,20:00:00,2022-07-16T21:30:00Z,07/16/22,23:30:00,https://tickets.kinoamdach.at/at/house-of-gucci-16-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",House of Gucci
