dtstart,dtend,created,description,location,summary
2022-07-17T18:00:00Z,2022-07-17T21:30:00Z,2022-06-03T16:31:20Z,https://tickets.kinoamdach.at/at/summer-of-soul-17-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Summer of Soul
2022-07-18T18:00:00Z,2022-07-18T21:30:00Z,2022-06-04T08:56:50Z,https://tickets.kinoamdach.at/at/ninjababy-presented-by-falter-18-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Ninjababy
2022-07-19T18:00:00Z,2022-07-19T21:30:00Z,2022-06-04T08:57:25Z,https://tickets.kinoamdach.at/at/the-innocents-presented-by-slash-filmfestival-19-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Innocents
2022-07-20T18:00:00Z,2022-07-20T21:30:00Z,2022-06-04T08:57:49Z,https://tickets.kinoamdach.at/at/luzifer-20-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Luzifer
2022-07-21T18:00:00Z,2022-07-21T21:30:00Z,2022-06-04T08:58:07Z,https://tickets.kinoamdach.at/at/girls-cant-surf-presented-by-surf-film-nacht-21-07-2022-4,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Girls Can't Surf
2022-07-22T18:00:00Z,2022-07-22T21:30:00Z,2022-06-04T08:58:53Z,https://tickets.kinoamdach.at/at/the-batman-22-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Batman
2022-07-23T18:00:00Z,2022-07-23T21:30:00Z,2022-06-03T16:31:59Z,https://tickets.kinoamdach.at/at/luzifer-20-07-2022-3,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Dune
2022-07-24T18:00:00Z,2022-07-24T21:30:00Z,2022-06-04T08:59:12Z,https://tickets.kinoamdach.at/at/west-side-story-presented-by-radio-wien-24-07-2022-2,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",West Side Story
2022-07-25T18:00:00Z,2022-07-25T21:30:00Z,2022-06-03T16:32:24Z,https://tickets.kinoamdach.at/at/drive-my-car-presented-by-falter-25-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Drive my Car
2022-07-26T18:00:00Z,2022-07-26T21:30:00Z,2022-06-04T09:00:08Z,https://tickets.kinoamdach.at/at/the-worst-person-in-the-world-26-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Der Schlimmste Mensch der Welt
2022-07-27T18:00:00Z,2022-07-27T21:30:00Z,2022-06-04T09:00:26Z,https://tickets.kinoamdach.at/at/the-worst-person-in-the-world-26-07-2022-2,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Black Phone
2022-07-28T18:00:00Z,2022-07-28T21:30:00Z,2022-06-04T09:00:52Z,https://tickets.kinoamdach.at/at/monsieur-claude-und-sein-grosses-fest-28-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Monsieur Claude und sein Grosses Fest
