"Cinema","Subject","Start ISO","Start Date","Start Time","End ISO","End Date","End Time","Description","Location"
"Filmfestival Rathausplatz","Hollywood In Vienna: The World Of Hans Zimmer","2022-08-15T18:45:00Z","2022-08-15",20:45:00,"2022-08-15T20:45:00Z","2022-08-15",22:45:00,"https://filmfestival-rathausplatz.at/event/hollywood-in-vienna-the-world-of-hans-zimmer-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Rusalka","2022-08-16T18:45:00Z","2022-08-16",20:45:00,"2022-08-16T20:45:00Z","2022-08-16",22:45:00,"https://filmfestival-rathausplatz.at/event/rusalka","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","dancescreen 2022: Highlights aus dem internationalen Tanzfilm Wettbewerb","2022-08-17T18:45:00Z","2022-08-17",20:45:00,"2022-08-17T19:45:00Z","2022-08-17",21:45:00,"https://filmfestival-rathausplatz.at/event/dancescreen-2022-highlights-aus-dem-internationalen-tanzfilm-wettbewerb","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Dee Dee Bridgewater: Live At The Bayfront Jazz Festival","2022-08-17T19:23:00Z","2022-08-17",21:23:00,"2022-08-17T20:45:00Z","2022-08-17",22:45:00,"https://filmfestival-rathausplatz.at/event/dee-dee-bridgewater-live-at-the-bayfront-jazz-festival-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Falco Symphonic Live","2022-08-18T18:45:00Z","2022-08-18",20:45:00,"2022-08-18T19:45:00Z","2022-08-18",21:45:00,"https://filmfestival-rathausplatz.at/event/falco-symphonic-live-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","David Bowie: A Reality Tour","2022-08-18T19:46:00Z","2022-08-18",21:46:00,"2022-08-18T21:15:00Z","2022-08-18",23:15:00,"https://filmfestival-rathausplatz.at/event/david-bowie-a-reality-tour-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Hoffmanns Erzählungen","2022-08-19T18:45:00Z","2022-08-19",20:45:00,"2022-08-19T20:45:00Z","2022-08-19",22:45:00,"https://filmfestival-rathausplatz.at/event/hoffmanns-erzaehlungen","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Seiler und Speer: Red Bull Symphonic","2022-08-20T18:45:00Z","2022-08-20",20:45:00,"2022-08-20T20:45:00Z","2022-08-20",22:45:00,"https://filmfestival-rathausplatz.at/event/seiler-und-speer-red-bull-symphonic-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Peer Gynt","2022-08-21T18:45:00Z","2022-08-21",20:45:00,"2022-08-21T20:45:00Z","2022-08-21",22:45:00,"https://filmfestival-rathausplatz.at/event/peer-gynt","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Aida","2022-08-22T18:45:00Z","2022-08-22",20:45:00,"2022-08-22T20:45:00Z","2022-08-22",22:45:00,"https://filmfestival-rathausplatz.at/event/aida","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Rolling Stones: Havana Moon","2022-08-23T18:30:00Z","2022-08-23",20:30:00,"2022-08-23T20:30:00Z","2022-08-23",22:30:00,"https://filmfestival-rathausplatz.at/event/rolling-stones-havana-moon-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
